Page ID,Section name,H1,Current URL,Current page path,New page path,Hierarchy level,Page type,Content section,Queries,Level of factual updates,HR owner (information provider and approver),Sitemap queries for HR,Additional migration instructions,Page template,Hide from nav,CMS preview,CMS edit
,Casual workers on student visas,,https://www.york.ac.uk/admin/hr/temporary-workers/right-to-work/tier-4-workers/,/admin/hr/temporary-workers/right-to-work/tier-4-workers/,/hr/managers/temporary-workers/right-to-work/tier-4,5,Information page,23 Managing teams and recruitment (casual),None,Minor updates,Becky Britten,,,answer-template-2017,FALSE,Preview,Edit
8.4.5,Special arrangements,,https://www.york.ac.uk/admin/hr/browse/temporary-workers/special-arrangements,/browse/temporary-workers/special-arrangements,/hr/managers/temporary-workers/special-arrangements,4,Index page,23 Managing teams and recruitment (casual),None,Fine as is,Becky Britten,,,Browse listing page,FALSE,Preview,Edit
,Critical friends,,https://www.york.ac.uk/admin/hr/temporary-workers/special-arrangements/critical-friends/,/admin/hr/temporary-workers/special-arrangements/critical-friends/,/hr/managers/temporary-workers/special-arrangements/critical-friends,5,Information page,23 Managing teams and recruitment (casual),None,Minor updates,Becky Britten,,,answer-template-2017,FALSE,Preview,Edit
,Graduate teaching assistants GTAs,,https://www.york.ac.uk/admin/hr/temporary-workers/special-arrangements/gta/,/admin/hr/temporary-workers/special-arrangements/gta/,/hr/managers/temporary-workers/special-arrangements/gta,5,Information page,23 Managing teams and recruitment (casual),None,Fine as is,Becky Britten,,,answer-template-2017,FALSE,Preview,Edit
8.4.6,Using agency staff,,https://www.york.ac.uk/admin/hr/browse/temporary-workers/using-agency-staff,/browse/temporary-workers/using-agency-staff,/hr/managers/temporary-workers/using-agency-staff,4,Index page,23 Managing teams and recruitment (casual),None,Fine as is,Becky Britten,,,Browse listing page,FALSE,Preview,Edit
,Approved agencies,,https://www.york.ac.uk/admin/hr/temporary-workers/using-agency-staff/approved-agencies/,/admin/hr/temporary-workers/using-agency-staff/approved-agencies/,/hr/managers/temporary-workers/using-agency-staff/approved,5,Information page,23 Managing teams and recruitment (casual),None,Fine as is,Becky Britten,,,answer-template-2017,FALSE,Preview,Edit
,Rights of agency workers,,https://www.york.ac.uk/admin/hr/temporary-workers/using-agency-staff/rights-of-workers/,/admin/hr/temporary-workers/using-agency-staff/rights-of-workers/,/hr/managers/temporary-workers/using-agency-staff/rights,5,Information page,23 Managing teams and recruitment (casual),None,Minor updates,Becky Britten,,,answer-template-2017,FALSE,Preview,Edit
8.4.1,Using casual workers,,https://www.york.ac.uk/admin/hr/browse/temporary-workers/using-casual-workers,/browse/temporary-workers/using-casual-workers,/hr/managers/temporary-workers/using-casual-workers,4,Index page,23 Managing teams and recruitment (casual),None,Fine as is,Becky Britten,,,Browse listing page,FALSE,Preview,Edit
,Contracts for services,,https://www.york.ac.uk/admin/hr/temporary-workers/using-casual-workers/contracts-for-services/,/admin/hr/temporary-workers/using-casual-workers/contracts-for-services/,/hr/managers/temporary-workers/using-casual-workers/contracts,5,Information page,23 Managing teams and recruitment (casual),None,Fine as is,Becky Britten,,,answer-template-2017,FALSE,Preview,Edit
,How to engage a casual worker,,https://www.york.ac.uk/admin/hr/temporary-workers/using-casual-workers/process/,/admin/hr/temporary-workers/using-casual-workers/process/,/hr/managers/temporary-workers/using-casual-workers/process,5,Information page,23 Managing teams and recruitment (casual),None,Fine as is,Becky Britten,,,answer-template-2017,FALSE,Preview,Edit
,Registration of casual workers,,https://www.york.ac.uk/admin/hr/temporary-workers/using-casual-workers/registration/,/admin/hr/temporary-workers/using-casual-workers/registration/,/hr/managers/temporary-workers/using-casual-workers/registration,5,Information page,23 Managing teams and recruitment (casual),None,Fine as is,Becky Britten,,,answer-template-2017,FALSE,Preview,Edit
8.3,Performance management,,https://www.york.ac.uk/admin/hr/browse/performance-management,/browse/performance-management,/hr/managers/performance-management,3,Index page,24 Managing teams and recruitment (performance management),None,Fine as is,Sophie Thompson,,Make sure there are links to this section from the My employment category page,Browse listing page,FALSE,Preview,Edit
8.3.4,Performance and Development Review (PDR),,https://www.york.ac.uk/admin/hr/browse/performance-management/annual-review,/browse/performance-management/annual-review,/hr/managers/performance-management/annual-review,4,Index page,24 Managing teams and recruitment (performance management),None,Fine as is,Sophie Thompson,,,Browse listing page,FALSE,Preview,Edit
1,After the meeting,,https://www.york.ac.uk/admin/hr/performance-management/annual-review/after-the-meeting/completion-of-the-form/,/admin/hr/performance-management/annual-review/after-the-meeting/completion-of-the-form/,/hr/managers/performance-management/annual-review/after-the-review,5,Multistep parent,24 Managing teams and recruitment (performance management),None,Fine as is,Sophie Thompson,,Prev/next buttons beneficial,multiPage-template-2017,FALSE,Preview,Edit
2,Development plan,After the meeting: Development plan,https://www.york.ac.uk/admin/hr/performance-management/annual-review/after-the-meeting/development-plan/,/admin/hr/performance-management/annual-review/after-the-meeting/development-plan/,/hr/managers/performance-management/annual-review/after-the-review/development-plan,6,Multistep guide,24 Managing teams and recruitment (performance management),None,Fine as is,Sophie Thompson,,,multiPage-template-2017,FALSE,Preview,Edit
3,Ongoing meetings,After the meeting: Ongoing meetings,https://www.york.ac.uk/admin/hr/performance-management/annual-review/after-the-meeting/ongoing-meetings/,/admin/hr/performance-management/annual-review/after-the-meeting/ongoing-meetings/,/hr/managers/performance-management/annual-review/after-the-review/ongoing-meetings,6,Multistep guide,24 Managing teams and recruitment (performance management),None,Fine as is,Sophie Thompson,,,multiPage-template-2017,FALSE,Preview,Edit
,Coordinating reviews in departments,,https://www.york.ac.uk/admin/hr/performance-management/annual-review/departmental-coordination/,/admin/hr/performance-management/annual-review/departmental-coordination/,/hr/managers/performance-management/annual-review/departmental-coordination/,5,Information page,24 Managing teams and recruitment (performance management),None,Fine as is,Sophie Thompson,,,answer-template-2017,FALSE,Preview,Edit
,Frequently asked questions,,https://www.york.ac.uk/admin/hr/performance-management/annual-review/faqs/,/admin/hr/performance-management/annual-review/faqs/,/hr/managers/performance-management/annual-review/faqs/,5,Information page,24 Managing teams and recruitment (performance management),None,Fine as is,Sophie Thompson,,,answer-template-2017,FALSE,Preview,Edit
1,The Performance and Development Review PDR meeting,,https://www.york.ac.uk/admin/hr/performance-management/annual-review/the-review-meeting/last-12-months/,/admin/hr/performance-management/annual-review/the-review-meeting/last-12-months/,/hr/managers/performance-management/annual-review/meeting,5,Multistep parent,24 Managing teams and recruitment (performance management),None,Fine as is,Sophie Thompson,,Prev/next buttons beneficial,multiPage-template-2017,FALSE,Preview,Edit
2,Ratings,PDR meeting: Ratings,https://www.york.ac.uk/admin/hr/performance-management/annual-review/the-review-meeting/ratings/,/admin/hr/performance-management/annual-review/the-review-meeting/ratings/,/hr/managers/performance-management/annual-review/meeting/ratings,6,Multistep guide,24 Managing teams and recruitment (performance management),None,Fine as is,Sophie Thompson,,,multiPage-template-2017,FALSE,Preview,Edit
3,Expectations,,https://www.york.ac.uk/admin/hr/performance-management/annual-review/the-review-meeting/archive/expectations/,/admin/hr/performance-management/annual-review/the-review-meeting/archive/expectations/,/hr/managers/performance-management/annual-review/meeting/expectations,6,Multistep guide,24 Managing teams and recruitment (performance management),Query - retire,Fine as is,Sophie Thompson,Should this be part of the guide? URL includes 'archive' so it might be an old version that is no longer required.,,multiPage-template-2017,FALSE,Preview,Edit
4,Other considerations,PDR meeting: Other considerations,https://www.york.ac.uk/admin/hr/performance-management/annual-review/the-review-meeting/other-considerations/,/admin/hr/performance-management/annual-review/the-review-meeting/other-considerations/,/hr/managers/performance-management/annual-review/meeting/other-considerations,6,Multistep guide,24 Managing teams and recruitment (performance management),None,Fine as is,Sophie Thompson,,,multiPage-template-2017,FALSE,Preview,Edit
5,Career development,PDR meeting: Career development,https://www.york.ac.uk/admin/hr/performance-management/annual-review/the-review-meeting/career-development/,/admin/hr/performance-management/annual-review/the-review-meeting/career-development/,/hr/managers/performance-management/annual-review/meeting/development,6,Multistep guide,24 Managing teams and recruitment (performance management),None,Fine as is,Sophie Thompson,,,multiPage-template-2017,FALSE,Preview,Edit
6,Objectives,PDR meeting: Objectives,https://www.york.ac.uk/admin/hr/performance-management/annual-review/the-review-meeting/objectives/,/admin/hr/performance-management/annual-review/the-review-meeting/objectives/,/hr/managers/performance-management/annual-review/meeting/objectives,6,Multistep guide,24 Managing teams and recruitment (performance management),None,Fine as is,Sophie Thompson,,,multiPage-template-2017,FALSE,Preview,Edit
7,Development goals,PDR meeting: Development goals,https://www.york.ac.uk/admin/hr/performance-management/annual-review/the-review-meeting/development-goals/,/admin/hr/performance-management/annual-review/the-review-meeting/development-goals/,/hr/managers/performance-management/annual-review/meeting/goals,6,Multistep guide,24 Managing teams and recruitment (performance management),None,Fine as is,Sophie Thompson,,,multiPage-template-2017,FALSE,Preview,Edit
1,Reviewee preparation,,https://www.york.ac.uk/admin/hr/performance-management/annual-review/preparing-for-your-review/overview/,/admin/hr/performance-management/annual-review/preparing-for-your-review/overview/,/hr/managers/performance-management/annual-review/preparing-for-your-review,5,Multistep parent,24 Managing teams and recruitment (performance management),Query - silver candidate,Fine as is,Sophie Thompson,"Wonder if we should split out manager and reviewee guidance and move the reviewee section into My employment?
",Prev/next buttons beneficial,multiPage-template-2017,FALSE,Preview,Edit
2,Self review,Reviewee preparation: Self review,https://www.york.ac.uk/admin/hr/performance-management/annual-review/preparing-for-your-review/self-review/,/admin/hr/performance-management/annual-review/preparing-for-your-review/self-review/,/hr/managers/performance-management/annual-review/preparing-for-your-review/self-review,6,Multistep guide,24 Managing teams and recruitment (performance management),None,Minor updates,Sophie Thompson,,,multiPage-template-2017,FALSE,Preview,Edit
3,Progress against objectives,Reviewee preparation: Objectives progress,https://www.york.ac.uk/admin/hr/performance-management/annual-review/preparing-for-your-review/objectives-progress/,/admin/hr/performance-management/annual-review/preparing-for-your-review/objectives-progress/,/hr/managers/performance-management/annual-review/preparing-for-your-review/objectives,6,Multistep guide,24 Managing teams and recruitment (performance management),None,Fine as is,Sophie Thompson,,,multiPage-template-2017,FALSE,Preview,Edit
4,Performance ratings,Reviewee preparation: Performance ratings,https://www.york.ac.uk/admin/hr/performance-management/annual-review/preparing-for-your-review/ratings/,/admin/hr/performance-management/annual-review/preparing-for-your-review/ratings/,/hr/managers/performance-management/annual-review/preparing-for-your-review/ratings,6,Multistep guide,24 Managing teams and recruitment (performance management),None,Fine as is,Sophie Thompson,,,multiPage-template-2017,FALSE,Preview,Edit
5,Ideas for improvement,Reviewee preparation: Ideas for improvement,https://www.york.ac.uk/admin/hr/performance-management/annual-review/preparing-for-your-review/ideas-for-improvement/,/admin/hr/performance-management/annual-review/preparing-for-your-review/ideas-for-improvement/,/hr/managers/performance-management/annual-review/preparing-for-your-review/ideas,6,Multistep guide,24 Managing teams and recruitment (performance management),None,Fine as is,Sophie Thompson,,,multiPage-template-2017,FALSE,Preview,Edit
6,Career development,Reviewee preparation: Career development,https://www.york.ac.uk/admin/hr/performance-management/annual-review/preparing-for-your-review/career-development/,/admin/hr/performance-management/annual-review/preparing-for-your-review/career-development/,/hr/managers/performance-management/annual-review/preparing-for-your-review/career-development,6,Multistep guide,24 Managing teams and recruitment (performance management),None,Fine as is,Sophie Thompson,,,multiPage-template-2017,FALSE,Preview,Edit
7,Setting objectives,Reviewee preparation: Setting objectives,https://www.york.ac.uk/admin/hr/performance-management/annual-review/preparing-for-your-review/objectives/,/admin/hr/performance-management/annual-review/preparing-for-your-review/objectives/,/hr/managers/performance-management/annual-review/preparing-for-your-review/objectives/,6,Multistep guide,24 Managing teams and recruitment (performance management),None,Fine as is,Sophie Thompson,,,multiPage-template-2017,FALSE,Preview,Edit
8,Expectations,Reviewee preparation: Expectations,https://www.york.ac.uk/admin/hr/performance-management/annual-review/preparing-for-your-review/archive/expectations/,/admin/hr/performance-management/annual-review/preparing-for-your-review/archive/expectations/,/hr/managers/performance-management/annual-review/preparing-for-your-review/expectations/,6,Multistep guide,24 Managing teams and recruitment (performance management),Query - retire,Fine as is,Sophie Thompson,Should this be part of the guide? URL includes 'archive' so it might be an old version that is no longer required.,,multiPage-template-2017,FALSE,Preview,Edit
1,Reviewer preparation,,https://www.york.ac.uk/admin/hr/performance-management/annual-review/preparing-to-review-someone/overview/,/admin/hr/performance-management/annual-review/preparing-to-review-someone/overview/,/hr/managers/performance-management/annual-review/preparing-to-review-someone,5,Multistep parent,24 Managing teams and recruitment (performance management),None,Fine as is,Sophie Thompson,,Prev/next buttons beneficial,multiPage-template-2017,FALSE,Preview,Edit
2,Feedback,Reviewer preparation: Feedback,https://www.york.ac.uk/admin/hr/performance-management/annual-review/preparing-to-review-someone/feedback/,/admin/hr/performance-management/annual-review/preparing-to-review-someone/feedback/,/hr/managers/performance-management/annual-review/preparing-to-review-someone/feedback/,6,Multistep guide,24 Managing teams and recruitment (performance management),None,Fine as is,Sophie Thompson,,,multiPage-template-2017,FALSE,Preview,Edit
3,Metrics,Reviewer preparation: Metrics,https://www.york.ac.uk/admin/hr/performance-management/annual-review/preparing-to-review-someone/metrics/,/admin/hr/performance-management/annual-review/preparing-to-review-someone/metrics/,/hr/managers/performance-management/annual-review/preparing-to-review-someone/metrics/,6,Multistep guide,24 Managing teams and recruitment (performance management),None,Fine as is,Sophie Thompson,,,multiPage-template-2017,FALSE,Preview,Edit
4,Self review,Reviewer preparation: Self review,https://www.york.ac.uk/admin/hr/performance-management/annual-review/preparing-to-review-someone/self-review/,/admin/hr/performance-management/annual-review/preparing-to-review-someone/self-review/,/hr/managers/performance-management/annual-review/preparing-to-review-someone/self-review/,6,Multistep guide,24 Managing teams and recruitment (performance management),None,Minor updates,Sophie Thompson,,,multiPage-template-2017,FALSE,Preview,Edit
5,Ratings,Reviewer preparation: Ratings,https://www.york.ac.uk/admin/hr/performance-management/annual-review/preparing-to-review-someone/individual-assessment/,/admin/hr/performance-management/annual-review/preparing-to-review-someone/individual-assessment/,/hr/managers/performance-management/annual-review/preparing-to-review-someone/individual-assessment/,6,Multistep guide,24 Managing teams and recruitment (performance management),None,Fine as is,Sophie Thompson,,,multiPage-template-2017,FALSE,Preview,Edit
6,Other considerations,Reviewer preparation: Other considerations,https://www.york.ac.uk/admin/hr/performance-management/annual-review/preparing-to-review-someone/other-considerations/,/admin/hr/performance-management/annual-review/preparing-to-review-someone/other-considerations/,/hr/managers/performance-management/annual-review/preparing-to-review-someone/other-considerations/,6,Multistep guide,24 Managing teams and recruitment (performance management),None,Fine as is,Sophie Thompson,,,multiPage-template-2017,FALSE,Preview,Edit
7,Objectives,Reviewer preparation: Objectives,https://www.york.ac.uk/admin/hr/performance-management/annual-review/preparing-to-review-someone/looking-forward/,/admin/hr/performance-management/annual-review/preparing-to-review-someone/looking-forward/,/hr/managers/performance-management/annual-review/preparing-to-review-someone/looking-forward/,6,Multistep guide,24 Managing teams and recruitment (performance management),None,Minor updates,Sophie Thompson,,,multiPage-template-2017,FALSE,Preview,Edit
8,Expectations,Reviewer preparation: Expectations,https://www.york.ac.uk/admin/hr/performance-management/annual-review/preparing-to-review-someone/archive/expectations/,/admin/hr/performance-management/annual-review/preparing-to-review-someone/archive/expectations/,/hr/managers/performance-management/annual-review/preparing-to-review-someone/expectations/,6,Multistep guide,24 Managing teams and recruitment (performance management),Query - retire,Fine as is,Sophie Thompson,Should this be part of the guide? URL includes 'archive' so it might be an old version that is no longer required.,,multiPage-template-2017,FALSE,Preview,Edit
,Performance and Development Review PDR ratings,,https://www.york.ac.uk/admin/hr/performance-management/annual-review/ratings/,/admin/hr/performance-management/annual-review/ratings/,/hr/managers/performance-management/annual-review/ratings/,5,Information page,24 Managing teams and recruitment (performance management),None,Fine as is,Sophie Thompson,,,answer-template-2017,FALSE,Preview,Edit
,Confidentiality,,https://www.york.ac.uk/admin/hr/performance-management/annual-review/reporting-on-pdr/,/admin/hr/performance-management/annual-review/reporting-on-pdr/,/hr/managers/performance-management/annual-review/reporting-on-pdr/,5,Information page,24 Managing teams and recruitment (performance management),None,Minor updates,Sophie Thompson,,Remove duplicate heading,answer-template-2017,FALSE,Preview,Edit
,Career development,,https://www.york.ac.uk/admin/hr/browse/performance-management/career-development,/browse/performance-management/career-development,/hr/managers/performance-management/career-development,4,Index page,24 Managing teams and recruitment (performance management),None,Fine as is,Sophie Thompson,,,Browse listing page,FALSE,Preview,Edit
,Opportunities for development,,https://www.york.ac.uk/admin/hr/performance-management/career-development/development-opportunities/,/admin/hr/performance-management/career-development/development-opportunities/,/hr/managers/performance-management/career-development/development-opportunities/,5,Information page,24 Managing teams and recruitment (performance management),None,Fine as is,Sophie Thompson,,,answer-template-2017,FALSE,Preview,Edit
,Discussing career ambitions,,https://www.york.ac.uk/admin/hr/performance-management/career-development/discussing-ambitions/,/admin/hr/performance-management/career-development/discussing-ambitions/,/hr/managers/performance-management/career-development/discussing-ambitions/,5,Information page,24 Managing teams and recruitment (performance management),None,Minor updates,Sophie Thompson,,,answer-template-2017,FALSE,Preview,Edit
,Recognising good performance,,https://www.york.ac.uk/admin/hr/browse/performance-management/good-performance,/browse/performance-management/good-performance,,4,Index page,24 Managing teams and recruitment (performance management),None,Fine as is,Sophie Thompson,"Only one child page is remaining, so we don't need an index page for one link. From performanace management page we can link straight to: https://www.york.ac.uk/admin/hr/performance-management/good-performance/formal-recognition/",,Browse listing page,FALSE,#N/A,#N/A
,Recognising good performance: Formal recognition,,https://www.york.ac.uk/admin/hr/performance-management/good-performance/formal-recognition/,/admin/hr/performance-management/good-performance/formal-recognition/,/hr/managers/performance-management/good-performance/formal-recognition/,5,Information page,24 Managing teams and recruitment (performance management),None,Fine as is,Sophie Thompson,,,answer-template-2017,FALSE,Preview,Edit
,Reviewing progress,,https://www.york.ac.uk/admin/hr/browse/performance-management/reviewing-progress,/browse/performance-management/reviewing-progress,/hr/managers/performance-management/reviewing-progress,4,Index page,24 Managing teams and recruitment (performance management),None,Fine as is,Sophie Thompson,,,Browse listing page,FALSE,Preview,Edit
,Regular feedback and progress review,,https://www.york.ac.uk/admin/hr/performance-management/reviewing-progress/communicating-regularly/,/admin/hr/performance-management/reviewing-progress/communicating-regularly/,/hr/managers/performance-management/reviewing-progress/communicating-regularly/,5,Information page,24 Managing teams and recruitment (performance management),None,Fine as is,Sophie Thompson,,,answer-template-2017,FALSE,Preview,Edit
,Identifying development needs,,https://www.york.ac.uk/admin/hr/performance-management/reviewing-progress/development/,/admin/hr/performance-management/reviewing-progress/development/,/hr/managers/performance-management/reviewing-progress/development/,5,Information page,24 Managing teams and recruitment (performance management),None,Fine as is,Sophie Thompson,,,answer-template-2017,FALSE,Preview,Edit
1,Giving effective feedback,,https://www.york.ac.uk/admin/hr/performance-management/reviewing-progress/honest-conversations/giving-feedback/,/admin/hr/performance-management/reviewing-progress/honest-conversations/giving-feedback/,/hr/managers/performance-management/reviewing-progress/giving-feedback/,5,Multistep parent,24 Managing teams and recruitment (performance management),None,Fine as is,Sophie Thompson,,Prev/next buttons beneficial,multiPage-template-2017,FALSE,Preview,Edit
2,Preparation,Giving feedback: Preparing for a conversation about performance,https://www.york.ac.uk/admin/hr/performance-management/reviewing-progress/honest-conversations/honesty/,/admin/hr/performance-management/reviewing-progress/honest-conversations/honesty/,/hr/managers/performance-management/reviewing-progress/giving-feedback/preparing,6,Multistep guide,24 Managing teams and recruitment (performance management),None,Fine as is,Sophie Thompson,,,multiPage-template-2017,FALSE,Preview,Edit
3,The conversation,Gving feedback: Having an honest conversation,https://www.york.ac.uk/admin/hr/performance-management/reviewing-progress/honest-conversations/the-conversation/,/admin/hr/performance-management/reviewing-progress/honest-conversations/the-conversation/,/hr/managers/performance-management/reviewing-progress/giving-feedback/conversation,6,Multistep guide,24 Managing teams and recruitment (performance management),None,Fine as is,Sophie Thompson,,,multiPage-template-2017,FALSE,Preview,Edit
1,One-to-one meetings,,https://www.york.ac.uk/admin/hr/performance-management/reviewing-progress/one-to-one/overview/,/admin/hr/performance-management/reviewing-progress/one-to-one/overview/,/hr/managers/performance-management/reviewing-progress/one-to-one,5,Multistep parent,24 Managing teams and recruitment (performance management),Query - general,Fine as is,Sophie Thompson,"This isn't currently listed as a link on the index page: https://www.york.ac.uk/admin/hr/browse/performance-management/reviewing-progress. There is a one-to-one document instead - which one is correct? Do we need both? Should the document be on the one-to-one pages instead?
",Prev/next buttons beneficial,multiPage-template-2017,FALSE,Preview,Edit
2,Purpose of one-to-one meetings,,https://www.york.ac.uk/admin/hr/performance-management/reviewing-progress/one-to-one/the-meeting/,/admin/hr/performance-management/reviewing-progress/one-to-one/the-meeting/,/hr/managers/performance-management/reviewing-progress/one-to-one/the-meeting/,6,Multistep guide,24 Managing teams and recruitment (performance management),None,Fine as is,Sophie Thompson,,,multiPage-template-2017,FALSE,Preview,Edit
3,Themes to consider at one-to-one meetings,,https://www.york.ac.uk/admin/hr/performance-management/reviewing-progress/one-to-one/themes-to-consider/,/admin/hr/performance-management/reviewing-progress/one-to-one/themes-to-consider/,/hr/managers/performance-management/reviewing-progress/one-to-one/themes-to-consider/,6,Multistep guide,24 Managing teams and recruitment (performance management),None,Minor updates,Sophie Thompson,,,multiPage-template-2017,FALSE,Preview,Edit
8.3.1,Setting expectations,,https://www.york.ac.uk/admin/hr/browse/performance-management/setting-targets,/browse/performance-management/setting-targets,/hr/managers/performance-management/setting-targets,4,Index page,24 Managing teams and recruitment (performance management),None,Fine as is,Sophie Thompson,,Note the values and behavious link can be removed as this page will be deleted,Browse listing page,FALSE,Preview,Edit
1,Agreeing objectives,,https://www.york.ac.uk/admin/hr/performance-management/setting-targets/agreeing-objectives/why/,/admin/hr/performance-management/setting-targets/agreeing-objectives/why/,/hr/managers/performance-management/setting-targets/agreeing-objectives/,5,Multistep parent,24 Managing teams and recruitment (performance management),None,Fine as is,Sophie Thompson,,Prev/next buttons beneficial,multiPage-template-2017,FALSE,Preview,Edit
2,Examples,,https://www.york.ac.uk/admin/hr/performance-management/setting-targets/agreeing-objectives/being-smartr/,/admin/hr/performance-management/setting-targets/agreeing-objectives/being-smartr/,/hr/managers/performance-management/setting-targets/agreeing-objectives/examples/,6,Multistep guide,24 Managing teams and recruitment (performance management),None,Fine as is,Sophie Thompson,,,multiPage-template-2017,FALSE,Preview,Edit
3,Getting commitment,,https://www.york.ac.uk/admin/hr/performance-management/setting-targets/agreeing-objectives/getting-commitment/,/admin/hr/performance-management/setting-targets/agreeing-objectives/getting-commitment/,/hr/managers/performance-management/setting-targets/agreeing-objectives/getting-commitment/,6,Multistep guide,24 Managing teams and recruitment (performance management),None,Fine as is,Sophie Thompson,,,multiPage-template-2017,FALSE,Preview,Edit
,Departmental plans,,https://www.york.ac.uk/admin/hr/performance-management/setting-targets/departmental-plans/,/admin/hr/performance-management/setting-targets/departmental-plans/,/hr/managers/performance-management/setting-targets/departmental-plans/,5,Information page,24 Managing teams and recruitment (performance management),None,Minor updates,Sophie Thompson,,,answer-template-2017,FALSE,Preview,Edit
,Job descriptions,,https://www.york.ac.uk/admin/hr/performance-management/setting-targets/job-descriptions/,/admin/hr/performance-management/setting-targets/job-descriptions/,/hr/managers/performance-management/setting-targets/job-descriptions/,5,Information page,24 Managing teams and recruitment (performance management),None,Fine as is,Sophie Thompson,,,answer-template-2017,FALSE,Preview,Edit
,Supporting new starters,,https://www.york.ac.uk/admin/hr/performance-management/setting-targets/new-starters/,/admin/hr/performance-management/setting-targets/new-starters/,/hr/managers/performance-management/setting-targets/new-starters/,5,Information page,24 Managing teams and recruitment (performance management),None,Fine as is,Sophie Thompson,,,answer-template-2017,FALSE,Preview,Edit
,Professional Support Services common objectives for all staff,,https://www.york.ac.uk/admin/hr/performance-management/setting-targets/pss-common-objectives/,/admin/hr/performance-management/setting-targets/pss-common-objectives/,/hr/managers/performance-management/setting-targets/pss-common-objectives/,5,Information page,24 Managing teams and recruitment (performance management),None,Fine as is,Sophie Thompson,,,answer-template-2017,FALSE,Preview,Edit
8.3.6,Dealing with underperformance,,https://www.york.ac.uk/admin/hr/browse/performance-management/underperformance,/browse/performance-management/underperformance,/hr/managers/performance-management/underperformance,4,Index page,24 Managing teams and recruitment (performance management),None,Fine as is,Sophie Thompson,,,Browse listing page,FALSE,Preview,Edit
,Conduct or capability,,https://www.york.ac.uk/admin/hr/performance-management/underperformance/conduct-or-capability/,/admin/hr/performance-management/underperformance/conduct-or-capability/,/hr/managers/performance-management/underperformance/conduct-or-capability/,5,Information page,24 Managing teams and recruitment (performance management),None,Fine as is,Sophie Thompson,,,answer-template-2017,FALSE,Preview,Edit
,Formal processes,,https://www.york.ac.uk/admin/hr/performance-management/underperformance/formal-processes/,/admin/hr/performance-management/underperformance/formal-processes/,/hr/managers/performance-management/underperformance/formal-processes/,5,Information page,24 Managing teams and recruitment (performance management),None,Fine as is,Sophie Thompson,,,answer-template-2017,FALSE,Preview,Edit
1,Informal approach,,https://www.york.ac.uk/admin/hr/performance-management/underperformance/informal-approaches/overview/,/admin/hr/performance-management/underperformance/informal-approaches/overview/,/hr/managers/performance-management/underperformance/informal-approaches,5,Multistep parent,24 Managing teams and recruitment (performance management),None,Fine as is,Sophie Thompson,,Prev/next buttons beneficial,multiPage-template-2017,FALSE,Preview,Edit
2,Collecting evidence,Informal approach: Collecting evidence,https://www.york.ac.uk/admin/hr/performance-management/underperformance/informal-approaches/collecting-evidence/,/admin/hr/performance-management/underperformance/informal-approaches/collecting-evidence/,/hr/managers/performance-management/underperformance/informal-approaches/collecting-evidence/,6,Multistep guide,24 Managing teams and recruitment (performance management),None,Fine as is,Sophie Thompson,,,multiPage-template-2017,FALSE,Preview,Edit
3,Holding a meeting,Informal approach: Holding a meeting,https://www.york.ac.uk/admin/hr/performance-management/underperformance/informal-approaches/the-meeting/,/admin/hr/performance-management/underperformance/informal-approaches/the-meeting/,/hr/managers/performance-management/underperformance/informal-approaches/the-meeting/,6,Multistep guide,24 Managing teams and recruitment (performance management),None,Fine as is,Sophie Thompson,,,multiPage-template-2017,FALSE,Preview,Edit
,Informal capability discussion,,https://www.york.ac.uk/admin/hr/performance-management/underperformance/informal-capability-discussion/,/admin/hr/performance-management/underperformance/informal-capability-discussion/,/hr/managers/performance-management/underperformance/informal-capability-discussion/,5,Information page,24 Managing teams and recruitment (performance management),Query - general,Fine as is,Sophie Thompson,Should this be part of the step guidance: https://www.york.ac.uk/admin/hr/performance-management/underperformance/informal-approaches/overview/ ? This page isn't currently linked from the index page https://www.york.ac.uk/admin/hr/browse/performance should it be?,,answer-template-2017,FALSE,Preview,Edit
,Dealing with longstanding performance issues,,https://www.york.ac.uk/admin/hr/performance-management/underperformance/longstanding-problems/,/admin/hr/performance-management/underperformance/longstanding-problems/,/hr/managers/performance-management/underperformance/longstanding-problems/,5,Information page,24 Managing teams and recruitment (performance management),None,Fine as is,Sophie Thompson,,,answer-template-2017,FALSE,Preview,Edit
,What to do when problems arise,,https://www.york.ac.uk/admin/hr/performance-management/underperformance/when-problems-arise/,/admin/hr/performance-management/underperformance/when-problems-arise/,/hr/managers/performance-management/underperformance/when-problems-arise/,5,Information page,24 Managing teams and recruitment (performance management),None,Fine as is,Sophie Thompson,,,answer-template-2017,FALSE,Preview,Edit
,Management information,,https://www.york.ac.uk/admin/hr/browse/management-information,/browse/management-information,/hr/managers/data,3,Index page,25 Managing teams and recruitment (information),None,Fine as is,Alex McFarlane,,Move main links into a 'searchable list/table' content type,Browse listing page,FALSE,Preview,Edit
,About management information,,https://www.york.ac.uk/admin/hr/browse/management-information/about,/browse/management-information/about,/hr/managers/data/about,4,Index page,25 Managing teams and recruitment (information),None,Fine as is,Alex McFarlane,,,Browse listing page,FALSE,Preview,Edit
,Overview of HR management information,,https://www.york.ac.uk/admin/hr/management-information/about/overview/,/admin/hr/management-information/about/overview/,/hr/managers/data/about/overview/,5,Information page,25 Managing teams and recruitment (information),None,Fine as is,Alex McFarlane,,,answer-template-2017,FALSE,Preview,Edit
